Newman et al. (2015, HESS) daily data for MICHIGAN RIVER NEAR CAMERON PASS, CO.
Source: PREC and TEMP [(TEMP_MIN+TEMP_MAX)/2]: DAYMET - PET: Priestly-Taylor
1.0000000    ! dt in "days" (all data in mm/day)
YYYY   MM   DD   HH      PREC      TEMP       PET     Q_OBS
1980   10   01   24      0.00      8.77      3.89      0.41
1980   10   02   24      0.00      2.22      3.34      0.38
1980   10   03   24      0.00      3.33      3.24      0.40
1980   10   04   24      0.00      3.67      3.27      0.38
1980   10   05   24      0.00      3.83      3.23      0.36
1980   10   06   24      0.00      2.29      3.05      0.35
1980   10   07   24      0.00      5.46      3.23      0.35
1980   10   08   24      0.00      3.25      2.98      0.33
1980   10   09   24      0.00      3.02      2.88      0.32
1980   10   10   24      0.00      0.89      2.66      0.28
1980   10   11   24      0.00      2.98      2.71      0.27
1980   10   12   24      0.00      4.47      2.55      0.27
1980   10   13   24      0.00      1.77      2.25      0.28
1980   10   14   24     14.99     -1.46      1.64      0.30
1980   10   15   24     16.91     -2.21      1.55      0.37
1980   10   16   24     13.18     -6.10      1.28      0.35
1980   10   17   24      8.17     -8.29      0.74      0.36
1980   10   18   24      0.00     -7.30      0.82      0.37
1980   10   19   24      0.00      0.19      1.78      0.36
1980   10   20   24      0.00     -3.69      1.77      0.46
1980   10   21   24      0.00     -2.19      1.74      0.44
1980   10   22   24      0.00     -2.00      1.44      0.40
1980   10   23   24      0.00     -9.48      1.23      0.37
1980   10   24   24      0.00     -6.94      1.47      0.35
1980   10   25   24      0.00     -2.56      1.62      0.33
1980   10   26   24      0.00     -3.43      1.56      0.32
1980   10   27   24      4.92     -5.40      1.10      0.30
1980   10   28   24      0.00    -13.69      1.02      0.29
1980   10   29   24      0.00     -7.70      1.26      0.29
1980   10   30   24      0.00     -3.01      1.42      0.28
1980   10   31   24      0.00      0.95      1.53      0.27
1980   11   01   24      0.00      2.20      1.55      0.27
1980   11   02   24      0.00     -0.77      1.31      0.27
1980   11   03   24      0.00     -1.01      1.17      0.27
1980   11   04   24      0.00      1.10      0.98      0.25
1980   11   05   24      0.00      1.14      1.32      0.25
1980   11   06   24      0.00      2.83      1.35      0.25
1980   11   07   24      0.00      2.76      1.11      0.25
1980   11   08   24      0.00     -1.71      1.13      0.25
1980   11   09   24      0.00      3.61      1.33      0.25
1980   11   10   24      0.00      3.46      1.22      0.22
1980   11   11   24      0.00      4.02      1.26      0.25
1980   11   12   24      0.00      2.33      1.20      0.22
1980   11   13   24     13.55     -2.52      0.93      0.24
1980   11   14   24      6.92     -7.57      0.78      0.25
1980   11   15   24      0.00    -19.46      0.60      0.25
1980   11   16   24      2.92    -17.49      0.55      0.27
1980   11   17   24      0.00    -17.62      0.58      0.27
1980   11   18   24      0.00    -17.07      0.60      0.27
1980   11   19   24      0.00    -12.55      0.66      0.25
1980   11   20   24      0.00    -10.99      0.65      0.25
1980   11   21   24      0.00    -11.19      0.63      0.25
1980   11   22   24      7.55    -12.17      0.57      0.22
1980   11   23   24      6.91    -13.84      0.49      0.21
1980   11   24   24      6.25    -13.32      0.53      0.20
1980   11   25   24      0.00    -15.29      0.49      0.20
1980   11   26   24      0.00    -12.35      0.55      0.20
1980   11   27   24      9.16    -12.30      0.52      0.22
1980   11   28   24      0.00     -9.38      0.56      0.20
1980   11   29   24      0.00     -1.35      0.73      0.20
1980   11   30   24      0.00      0.24      0.71      0.20
1980   12   01   24      7.51     -5.61      0.62      0.20
1980   12   02   24      0.00     -1.90      0.52      0.20
1980   12   03   24      0.00      2.71      0.80      0.20
1980   12   04   24      0.00     -0.23      0.72      0.18
1980   12   05   24      7.50     -3.68      0.64      0.18
1980   12   06   24      0.00     -8.30      0.52      0.18
1980   12   07   24      6.50     -5.88      0.54      0.18
1980   12   08   24      0.00    -11.31      0.44      0.18
1980   12   09   24      0.00    -13.02      0.44      0.18
1980   12   10   24      0.00    -11.22      0.46      0.20
1980   12   11   24      0.00     -6.29      0.54      0.19
1980   12   12   24      0.00     -5.22      0.49      0.17
1980   12   13   24      0.00     -5.70      0.42      0.18
1980   12   14   24      0.00     -5.96      0.43      0.18
1980   12   15   24      0.00     -3.40      0.60      0.16
1980   12   16   24      0.00      0.50      0.69      0.15
1980   12   17   24      0.00      1.09      0.61      0.15
1980   12   18   24      0.00     -2.14      0.58      0.13
1980   12   19   24      0.00     -5.79      0.46      0.15
1980   12   20   24      0.00     -3.71      0.43      0.13
1980   12   21   24      0.00     -1.50      0.57      0.13
1980   12   22   24     11.42     -3.98      0.60      0.14
1980   12   23   24      6.66     -6.95      0.52      0.14
1980   12   24   24      0.00     -4.77      0.59      0.14
1980   12   25   24      0.00     -1.62      0.66      0.14
1980   12   26   24      0.00     -1.43      0.67      0.12
1980   12   27   24      0.00      2.75      0.71      0.10
1980   12   28   24      0.00     -1.86      0.53      0.09
1980   12   29   24      0.00     -5.44      0.44      0.08
1980   12   30   24      0.00     -2.45      0.57      0.10
1980   12   31   24      0.00     -3.95      0.52      0.10
1981   01   01   24      0.00     -6.24      0.45      0.10
1981   01   02   24      0.00     -3.00      0.53      0.10
1981   01   03   24      0.00     -5.20      0.56      0.10
1981   01   04   24      0.00     -5.20      0.56      0.10
1981   01   05   24      0.00     -6.63      0.54      0.11
1981   01   06   24      0.00     -9.09      0.52      0.11
1981   01   07   24      0.00     -5.00      0.57      0.12
1981   01   08   24      0.00     -6.77      0.50      0.12
1981   01   09   24      0.00     -6.05      0.57      0.12
1981   01   10   24      0.00     -8.26      0.56      0.12
1981   01   11   24      0.00    -10.80      0.53      0.12
1981   01   12   24      0.00     -8.83      0.54      0.12
1981   01   13   24      0.00     -8.25      0.60      0.15
1981   01   14   24      0.00    -10.91      0.57      0.15
1981   01   15   24      0.00    -11.62      0.59      0.13
1981   01   16   24      0.00    -11.23      0.60      0.12
1981   01   17   24      0.00     -5.78      0.71      0.12
1981   01   18   24      0.00     -8.87      0.66      0.11
1981   01   19   24      0.00     -8.81      0.70      0.11
1981   01   20   24      0.00     -8.88      0.70      0.11
1981   01   21   24      0.00    -11.26      0.68      0.12
1981   01   22   24      0.00     -5.91      0.78      0.12
1981   01   23   24      0.00     -4.93      0.81      0.12
1981   01   24   24      0.00     -4.09      0.90      0.12
1981   01   25   24      0.00    -12.21      0.70      0.12
1981   01   26   24      0.00    -19.11      0.55      0.12
1981   01   27   24      0.00    -10.88      0.53      0.13
1981   01   28   24      0.00     -7.02      0.84      0.13
1981   01   29   24      0.00     -8.52      0.90      0.14
1981   01   30   24      0.00     -6.82      0.99      0.15
1981   01   31   24     17.90    -10.42      0.83      0.15
1981   02   01   24      8.99    -19.36      0.47      0.15
1981   02   02   24      0.00    -15.43      0.72      0.14
1981   02   03   24      0.00    -12.19      0.95      0.14
1981   02   04   24      0.00    -12.87      0.97      0.14
1981   02   05   24      0.00    -13.66      0.99      0.13
1981   02   06   24      0.00    -13.39      0.86      0.13
1981   02   07   24      0.00    -12.50      0.52      0.13
1981   02   08   24      0.00    -10.35      0.74      0.13
1981   02   09   24      8.13     -9.49      0.82      0.13
1981   02   10   24      0.00    -14.82      1.13      0.12
1981   02   11   24     10.66    -14.50      0.99      0.13
1981   02   12   24      0.00     -6.28      0.94      0.13
1981   02   13   24      0.00     -7.41      1.42      0.13
1981   02   14   24      0.00     -5.56      1.62      0.13
1981   02   15   24      0.00     -4.57      1.51      0.12
1981   02   16   24      0.00     -4.85      1.43      0.12
1981   02   17   24      7.36     -5.39      1.31      0.11
1981   02   18   24      0.00     -7.42      1.30      0.11
1981   02   19   24      0.00     -2.42      1.65      0.11
1981   02   20   24      0.00     -5.19      1.73      0.11
1981   02   21   24      0.00    -14.47      1.26      0.11
1981   02   22   24      0.00    -11.54      1.19      0.10
1981   02   23   24      0.00     -6.58      2.00      0.10
1981   02   24   24      0.00     -4.83      2.16      0.10
1981   02   25   24      0.00     -5.56      2.13      0.10
1981   02   26   24      7.00     -6.83      1.68      0.10
1981   02   27   24      0.00     -6.64      1.71      0.10
1981   02   28   24      0.00    -10.52      1.99      0.10
1981   03   01   24      0.00     -8.50      2.02      0.10
1981   03   02   24      0.00    -10.41      1.99      0.10
1981   03   03   24     13.66     -8.32      1.40      0.10
1981   03   04   24      6.84     -7.41      1.76      0.10
1981   03   05   24      0.00    -10.58      2.23      0.10
1981   03   06   24      8.41     -5.32      1.98      0.10
1981   03   07   24      0.00     -8.22      2.06      0.10
1981   03   08   24      0.00     -8.66      2.42      0.10
1981   03   09   24      0.00    -13.23      2.20      0.10
1981   03   10   24      0.00    -12.13      2.29      0.10
1981   03   11   24      6.91    -12.25      1.89      0.10
1981   03   12   24      7.24    -10.09      1.98      0.10
1981   03   13   24      0.00     -9.23      2.54      0.10
1981   03   14   24      0.00    -10.50      2.50      0.10
1981   03   15   24      0.00     -9.39      2.71      0.10
1981   03   16   24      7.04     -7.20      2.22      0.10
1981   03   17   24     12.49     -7.57      2.08      0.10
1981   03   18   24      0.00    -10.05      2.16      0.10
1981   03   19   24      0.00     -9.98      2.85      0.11
1981   03   20   24      9.16     -4.43      2.49      0.11
1981   03   21   24      7.66     -5.00      1.92      0.11
1981   03   22   24      0.00     -7.45      2.97      0.11
1981   03   23   24      5.09     -6.98      2.39      0.11
1981   03   24   24      9.66     -7.20      2.10      0.11
1981   03   25   24      0.00     -9.00      3.28      0.12
1981   03   26   24      0.00     -5.11      3.72      0.12
1981   03   27   24      0.00     -3.59      3.00      0.12
1981   03   28   24      0.00     -9.09      2.54      0.12
1981   03   29   24      7.50     -9.33      1.78      0.12
1981   03   30   24     15.25    -11.18      1.75      0.11
1981   03   31   24      0.00    -14.48      2.33      0.12
1981   04   01   24      0.00     -8.44      3.64      0.12
1981   04   02   24      0.00     -3.07      4.19      0.12
1981   04   03   24     15.91     -2.85      3.02      0.12
1981   04   04   24      5.99    -10.59      2.24      0.12
1981   04   05   24      0.00     -8.91      3.22      0.12
1981   04   06   24      0.00     -1.38      3.52      0.12
1981   04   07   24      8.39     -5.62      2.60      0.12
1981   04   08   24      7.92     -7.50      2.17      0.12
1981   04   09   24      0.00     -3.25      4.25      0.12
1981   04   10   24      0.00      0.48      5.29      0.13
1981   04   11   24      0.00     -0.18      5.17      0.12
1981   04   12   24      0.00     -0.85      5.18      0.12
1981   04   13   24      0.00      0.26      4.98      0.12
1981   04   14   24      0.00     -0.77      5.44      0.12
1981   04   15   24      0.00     -1.22      5.17      0.11
1981   04   16   24      0.00      2.35      4.22      0.12
1981   04   17   24      0.00      2.08      3.63      0.13
1981   04   18   24      0.00      1.25      6.17      0.13
1981   04   19   24     10.99     -0.31      4.29      0.18
1981   04   20   24      0.00     -2.05      4.67      0.17
1981   04   21   24      0.00      1.28      4.03      0.13
1981   04   22   24      0.00     -3.43      3.95      0.13
1981   04   23   24      0.00      0.38      5.12      0.13
1981   04   24   24      0.00      1.89      6.56      0.19
1981   04   25   24      0.00      2.37      6.62      0.36
1981   04   26   24      0.00      4.11      7.04      0.67
1981   04   27   24      0.00      3.60      6.78      0.73
1981   04   28   24      0.00      2.23      6.46      0.79
1981   04   29   24      0.00      4.06      6.67      1.03
1981   04   30   24      0.00      3.61      6.98      1.34
1981   05   01   24      0.00      2.62      6.98      1.52
1981   05   02   24      0.00      4.73      7.11      1.70
1981   05   03   24      0.00      2.93      5.84      2.00
1981   05   04   24     11.89     -0.32      4.15      1.70
1981   05   05   24      0.00      0.04      6.61      1.64
1981   05   06   24     12.50      0.46      4.20      1.46
1981   05   07   24      0.00     -2.70      4.88      1.34
1981   05   08   24      0.56     -4.78      3.67      1.34
1981   05   09   24     14.88     -4.79      3.21      1.27
1981   05   10   24     19.03     -3.38      4.43      1.34
1981   05   11   24     13.91     -1.47      4.53      1.27
1981   05   12   24      7.04     -4.79      3.32      1.27
1981   05   13   24      0.00     -6.61      4.10      1.27
1981   05   14   24      0.00      0.44      6.99      1.34
1981   05   15   24      0.00      1.86      7.05      1.46
1981   05   16   24     25.50     -3.76      3.24      1.46
1981   05   17   24     15.91     -3.27      2.03      1.46
1981   05   18   24      0.00     -2.51      4.50      1.40
1981   05   19   24      0.00      2.28      7.51      1.52
1981   05   20   24     12.92      3.63      6.15      1.76
1981   05   21   24     13.15      0.92      4.85      1.88
1981   05   22   24     14.91     -1.17      2.40      1.94
1981   05   23   24      0.00     -0.49      3.59      1.94
1981   05   24   24      4.65     -1.34      4.82      2.19
1981   05   25   24      6.00      2.83      5.31      2.55
1981   05   26   24      7.40      4.68      5.24      3.58
1981   05   27   24      9.00      6.58      5.34      4.37
1981   05   28   24      8.00      5.93      6.20      5.16
1981   05   29   24      7.00      5.83      5.90      5.83
1981   05   30   24      0.00      3.65      8.22      7.29
1981   05   31   24      0.00      4.83      8.48      9.11
1981   06   01   24      0.00      5.18      8.52      9.71
1981   06   02   24      0.00      4.77      8.51     10.32
