Newman et al. (2015, HESS) daily data - PREC and TEMP: DAYMET - PET: Priestly-Taylor
1.0000000    ! dt in "days" (all data in mm/day)
YYYY   MM   DD   HH      PREC    POT_ET     OBS_Q      TEMP
1980   12   29   24      0.00      0.97      0.08      6.67
1980   12   30   24      0.00      1.04      0.07      8.74
1980   12   31   24      0.00      1.02      0.07      7.71
1981   01   01   24      0.00      1.08      0.07     10.10
1981   01   02   24      0.00      1.06      0.07      9.04
1981   01   03   24      0.00      1.01      0.07      7.24
1981   01   04   24      0.00      1.08      0.07      9.22
1981   01   05   24      0.00      0.94      0.07      4.70
1981   01   06   24      4.62      0.90      0.07      5.56
1981   01   07   24     14.51      0.89      0.07      6.54
1981   01   08   24      0.00      0.98      0.07      5.23
1981   01   09   24      1.52      1.01      0.08      6.73
1981   01   10   24      0.00      1.09      0.08      7.82
1981   01   11   24      0.00      0.96      0.09      4.63
1981   01   12   24      0.00      0.84      0.09      0.25
1981   01   13   24      0.00      0.87      0.09      0.30
1981   01   14   24      0.00      1.07      0.09      5.54
1981   01   15   24      0.00      1.15      0.09      7.52
1981   01   16   24      0.00      1.11      0.09      6.23
1981   01   17   24      0.00      1.03      0.08      3.88
1981   01   18   24      0.00      0.94      0.08      1.81
1981   01   19   24      0.00      1.02      0.08      4.04
1981   01   20   24     24.74      0.71      0.09      4.39
1981   01   21   24      1.98      0.69      0.09      4.37
1981   01   22   24      0.00      0.78      0.12      5.84
1981   01   23   24      0.00      1.05      0.19      3.38
1981   01   24   24      0.00      1.29      0.23      7.40
1981   01   25   24      0.00      1.46      0.23     11.05
1981   01   26   24      0.00      1.58      0.21     13.63
1981   01   27   24      0.00      1.52      0.19     15.17
1981   01   28   24      1.18      1.35      0.17      8.68
1981   01   29   24      0.00      1.56      0.15     11.10
1981   01   30   24      0.00      1.71      0.13     15.12
1981   01   31   24      0.00      1.48      0.12      9.63
1981   02   01   24     61.39      1.36      0.12     10.92
1981   02   02   24     19.85      1.13      0.17      4.49
1981   02   03   24      0.00      1.14      0.57      0.17
1981   02   04   24      0.00      1.32      1.16      3.72
1981   02   05   24      5.76      1.12      2.42      5.90
1981   02   06   24     14.47      0.71      5.96      2.62
1981   02   07   24      0.00      1.20      6.85      6.67
1981   02   08   24      0.00      1.28      5.14      9.20
1981   02   09   24      0.00      1.61      3.69      8.20
1981   02   10   24      7.16      1.50      2.69     10.73
1981   02   11   24      0.00      1.62      2.00      7.00
1981   02   12   24      0.00      1.06      1.47     -3.07
1981   02   13   24      0.00      1.23      1.02      0.29
1981   02   14   24      0.00      1.57      0.75      4.36
1981   02   15   24      0.00      1.69      0.58      6.25
1981   02   16   24      1.01      1.74      0.47     10.80
1981   02   17   24      0.74      1.43      0.40     12.60
1981   02   18   24      0.00      2.11      0.34     12.98
1981   02   19   24      0.00      2.36      0.31     15.32
1981   02   20   24      0.00      2.60      0.30     17.59
1981   02   21   24      0.00      2.72      0.28     19.43
1981   02   22   24      3.97      2.07      0.27     17.70
1981   02   23   24      0.00      2.23      0.25     12.20
1981   02   24   24      0.00      2.47      0.24     12.96
1981   02   25   24      0.00      2.69      0.23     15.58
1981   02   26   24      0.00      2.64      0.22     15.51
1981   02   27   24      0.00      2.78      0.21     17.39
1981   02   28   24      0.00      2.82      0.20     18.62
1981   03   01   24      3.05      2.27      0.18     19.67
1981   03   02   24      8.06      1.95      0.17     13.05
1981   03   03   24      0.00      2.40      0.17     14.00
1981   03   04   24     48.50      1.88      0.32     14.99
1981   03   05   24     19.12      2.45      1.32     17.55
1981   03   06   24      0.00      2.54      2.33     11.75
1981   03   07   24      0.00      2.27      4.03     11.92
1981   03   08   24      0.02      2.09      5.45     11.50
1981   03   09   24      0.00      2.67      4.88     10.68
1981   03   10   24      0.00      2.70      4.18     11.04
1981   03   11   24      0.00      2.74      3.71     12.45
1981   03   12   24      0.00      2.84      2.70     13.62
1981   03   13   24      3.09      2.21      1.45     14.11
1981   03   14   24      0.00      3.00      0.76     12.94
1981   03   15   24      0.00      3.24      0.51     14.66
1981   03   16   24      0.00      3.28      0.40     15.62
1981   03   17   24      0.00      3.11      0.34     11.97
1981   03   18   24      0.00      3.28      0.30     14.60
1981   03   19   24      0.00      2.93      0.26      9.84
1981   03   20   24      0.00      2.90      0.24      9.36
1981   03   21   24      1.19      3.07      0.22     13.23
1981   03   22   24     14.62      1.89      0.22     12.57
1981   03   23   24      0.00      2.87      0.22     12.37
1981   03   24   24      0.00      3.09      0.26      9.97
1981   03   25   24      0.00      3.36      0.31     12.47
1981   03   26   24      0.00      3.48      0.30     13.90
1981   03   27   24      0.00      3.55      0.28     16.55
1981   03   28   24      0.00      3.49      0.25     19.04
1981   03   29   24      8.44      2.79      0.23     19.11
1981   03   30   24     12.74      2.58      0.25     17.29
1981   03   31   24      0.00      4.22      0.32     19.43
1981   04   01   24      0.48      3.30      0.38     19.30
1981   04   02   24      0.00      4.21      0.40     17.89
1981   04   03   24      5.39      2.77      0.37     20.96
1981   04   04   24      0.00      3.29      0.34     23.36
1981   04   05   24      3.47      3.33      0.30     17.05
1981   04   06   24      0.00      3.95      0.28     14.96
1981   04   07   24      0.00      3.90      0.26     17.24
1981   04   08   24      0.00      3.52      0.23     18.78
1981   04   09   24      0.00      2.70      0.20     21.20
1981   04   10   24      0.00      4.09      0.18     22.68
1981   04   11   24      0.00      3.72      0.17     22.79
1981   04   12   24      0.00      3.72      0.15     22.31
1981   04   13   24      0.00      4.23      0.14     23.14
1981   04   14   24      0.00      4.37      0.13     22.89
1981   04   15   24      0.00      4.58      0.12     21.67
1981   04   16   24      0.00      4.40      0.12     21.65
1981   04   17   24      0.00      4.35      0.11     23.38
1981   04   18   24      0.00      4.32      0.10     24.24
1981   04   19   24      0.00      4.26      0.10     24.03
1981   04   20   24      0.00      4.21      0.09     24.11
1981   04   21   24      0.00      4.36      0.09     23.87
1981   04   22   24      0.00      4.24      0.09     24.20
1981   04   23   24      7.11      2.93      0.10     21.73
1981   04   24   24     22.74      3.22      0.11     17.73
1981   04   25   24      0.00      4.70      0.10     20.06
1981   04   26   24      0.00      4.84      0.10     19.72
1981   04   27   24      0.00      5.07      0.12     20.88
1981   04   28   24      0.00      4.87      0.11     23.19
1981   04   29   24      0.00      3.85      0.10     24.09
1981   04   30   24      4.04      4.41      0.09     25.46
1981   05   01   24     26.54      4.11      0.09     23.66
1981   05   02   24     19.27      3.96      0.09     20.98
1981   05   03   24      0.00      4.74      0.13     19.72
1981   05   04   24      0.00      4.33      0.19     20.75
1981   05   05   24     29.73      2.86      0.27     20.89
1981   05   06   24      1.83      4.27      0.33     21.13
1981   05   07   24      0.00      4.68      0.64     20.51
1981   05   08   24      0.00      4.96      0.89     18.04
1981   05   09   24      7.34      4.02      0.95     20.07
1981   05   10   24     16.60      4.00      0.83     19.41
1981   05   11   24      0.00      4.73      0.63     15.32
1981   05   12   24      0.00      5.07      0.73     16.94
1981   05   13   24      0.00      5.30      0.76     19.92
1981   05   14   24     11.55      4.15      0.74     21.93
1981   05   15   24      0.00      5.19      0.60     18.23
1981   05   16   24     24.65      3.73      0.44     19.38
1981   05   17   24      5.21      4.47      0.32     21.79
1981   05   18   24      0.00      4.51      0.36     26.56
1981   05   19   24      0.00      5.29      0.53     24.91
1981   05   20   24      0.00      4.96      0.66     17.69
1981   05   21   24      0.00      5.04      0.64     16.86
1981   05   22   24      0.00      5.52      0.50     19.71
1981   05   23   24      0.00      5.38      0.35     22.11
1981   05   24   24      7.75      4.19      0.24     24.33
1981   05   25   24      2.50      4.50      0.18     24.05
1981   05   26   24     16.07      3.59      0.16     23.19
1981   05   27   24      0.00      5.42      0.15     24.50
1981   05   28   24      0.00      5.31      0.14     23.63
1981   05   29   24      0.00      5.70      0.13     26.42
1981   05   30   24      0.00      5.20      0.12     27.25
1981   05   31   24      0.00      5.43      0.11     26.74
1981   06   01   24      2.54      4.50      0.10     24.46
1981   06   02   24     11.06      4.29      0.09     26.56
1981   06   03   24     21.68      4.28      0.10     26.03
1981   06   04   24     25.69      4.06      0.15     26.03
1981   06   05   24     46.86      2.72      0.21     25.38
1981   06   06   24     31.87      2.93      0.36     26.46
1981   06   07   24      7.74      4.46      1.89     26.93
1981   06   08   24      0.00      5.10     13.50     27.50
1981   06   09   24      0.00      5.06     13.99     29.24
1981   06   10   24      0.00      5.11      9.36     28.91
1981   06   11   24     14.02      4.68      6.90     26.88
1981   06   12   24      9.52      3.57      5.92     24.99
1981   06   13   24      4.49      4.03      5.22     28.06
1981   06   14   24      0.00      5.18      4.63     28.57
1981   06   15   24      0.00      5.40      3.56     28.46
1981   06   16   24      0.00      5.60      2.31     27.67
1981   06   17   24      0.88      5.77      1.23     26.67
1981   06   18   24      0.00      5.68      0.74     25.84
1981   06   19   24      0.00      6.14      0.45     28.02
1981   06   20   24      0.00      6.05      0.34     28.05
1981   06   21   24      0.00      6.19      0.26     28.06
1981   06   22   24      0.00      6.06      0.22     28.52
1981   06   23   24      0.00      6.22      0.19     28.60
1981   06   24   24     14.82      4.89      0.17     26.34
1981   06   25   24      7.69      4.59      0.19     26.10
1981   06   26   24      3.99      5.05      0.49     27.66
1981   06   27   24      0.00      6.12      1.10     25.77
1981   06   28   24      0.00      6.25      1.06     25.91
1981   06   29   24      0.00      6.19      0.96     27.26
1981   06   30   24      0.00      5.99      0.85     27.85
1981   07   01   24      0.00      5.49      0.52     27.89
1981   07   02   24      0.57      5.18      0.33     27.32
1981   07   03   24     12.72      4.46      0.36     26.02
1981   07   04   24      3.60      5.12      0.51     27.04
1981   07   05   24     25.69      3.78      0.68     27.27
1981   07   06   24     29.81      3.40      0.88     24.06
1981   07   07   24     12.40      4.04      1.06     26.52
1981   07   08   24      0.80      5.35      1.32     27.31
1981   07   09   24      1.67      5.32      1.87     28.06
1981   07   10   24      0.00      6.01      2.38     29.06
1981   07   11   24      6.00      5.57      2.61     28.40
1981   07   12   24      1.65      5.71      1.70     28.02
1981   07   13   24      7.09      5.01      0.92     27.73
1981   07   14   24      0.00      5.68      0.53     28.59
1981   07   15   24      0.00      5.85      0.66     28.57
1981   07   16   24      0.00      5.85      0.72     28.77
1981   07   17   24      0.00      5.83      0.39     29.38
1981   07   18   24      0.00      5.94      0.27     29.09
1981   07   19   24      0.00      5.89      0.23     29.23
1981   07   20   24      0.00      5.85      0.19     29.77
1981   07   21   24      0.00      5.84      0.16     29.66
1981   07   22   24      0.00      5.97      0.14     29.97
1981   07   23   24      0.00      5.96      0.13     30.32
1981   07   24   24      0.00      6.14      0.12     30.63
1981   07   25   24      0.00      6.00      0.10     30.29
1981   07   26   24      0.00      5.90      0.10     28.79
1981   07   27   24      0.19      5.45      0.09     27.95
1981   07   28   24     12.59      4.15      0.09     27.69
1981   07   29   24      0.23      5.51      0.09     28.14
1981   07   30   24      0.00      5.72      0.09     29.16
1981   07   31   24      0.00      5.85      0.11     28.25
1981   08   01   24      0.00      5.78      0.19     28.73
1981   08   02   24      0.03      5.66      0.38     29.01
1981   08   03   24      0.32      5.45      0.55     28.91
1981   08   04   24      0.00      5.49      0.55     28.70
1981   08   05   24      0.53      5.60      0.31     28.66
1981   08   06   24      0.64      5.32      0.17     28.81
1981   08   07   24      0.00      5.22      0.11     29.39
1981   08   08   24      0.01      5.40      0.10     28.04
1981   08   09   24      0.00      5.65      0.09     25.30
1981   08   10   24      0.00      5.66      0.09     26.41
1981   08   11   24      0.00      5.54      0.09     26.94
1981   08   12   24      0.02      4.97      0.08     26.73
1981   08   13   24      0.00      5.46      0.08     28.54
1981   08   14   24      0.00      5.48      0.08     28.88
1981   08   15   24      0.00      5.50      0.08     29.42
1981   08   16   24      0.00      5.37      0.07     30.35
1981   08   17   24      0.00      5.36      0.07     30.16
1981   08   18   24      0.00      5.42      0.07     29.28
1981   08   19   24      0.08      5.26      0.06     28.98
1981   08   20   24      0.00      4.63      0.06     24.98
1981   08   21   24      0.00      4.99      0.06     25.80
1981   08   22   24      0.00      4.99      0.06     26.18
1981   08   23   24      0.00      4.96      0.06     27.34
1981   08   24   24      0.00      4.93      0.05     27.32
1981   08   25   24      6.27      4.08      0.05     27.34
1981   08   26   24      0.00      5.04      0.05     27.55
1981   08   27   24      0.00      4.96      0.05     27.45
1981   08   28   24      0.00      4.86      0.05     27.66
1981   08   29   24      0.00      4.25      0.05     27.17
1981   08   30   24      0.00      4.14      0.05     27.07
1981   08   31   24      9.57      3.19      0.05     28.00
1981   09   01   24      6.35      3.02      0.05     26.95
1981   09   02   24     13.88      2.96      0.05     26.50
1981   09   03   24     17.28      3.18      0.05     26.31
1981   09   04   24     14.32      3.33      0.06     25.77
1981   09   05   24      0.00      4.28      0.05     26.19
1981   09   06   24      0.00      4.69      0.05     24.95
1981   09   07   24      0.00      4.63      0.05     25.11
1981   09   08   24      0.00      4.59      0.05     25.82
1981   09   09   24      0.00      4.38      0.05     23.31
1981   09   10   24      0.00      4.40      0.05     21.57
1981   09   11   24      0.00      4.43      0.05     22.20
1981   09   12   24      0.00      4.37      0.05     23.99
1981   09   13   24      0.00      4.43      0.05     27.04
1981   09   14   24      3.34      3.86      0.05     27.62
1981   09   15   24     18.84      2.58      0.05     25.26
1981   09   16   24      4.00      3.70      0.05     24.87
1981   09   17   24      0.00      4.08      0.05     21.78
1981   09   18   24      0.00      3.69      0.05     16.89
1981   09   19   24      0.00      3.55      0.05     15.18
1981   09   20   24      0.00      3.65      0.05     16.53
1981   09   21   24      0.00      3.81      0.05     19.07
1981   09   22   24      0.00      3.94      0.05     21.84
1981   09   23   24      0.00      4.02      0.05     23.40
1981   09   24   24      0.00      4.04      0.04     24.81
1981   09   25   24      0.00      4.02      0.04     24.88
1981   09   26   24      0.00      3.90      0.04     25.17
1981   09   27   24      0.00      3.87      0.04     25.20
1981   09   28   24      0.00      3.82      0.04     24.61
1981   09   29   24      0.00      3.80      0.04     25.54
1981   09   30   24      0.00      3.83      0.04     25.20
1981   10   01   24      0.00      3.66      0.04     25.49
1981   10   02   24     10.37      2.95      0.04     24.46
1981   10   03   24      0.00      3.32      0.04     20.48
1981   10   04   24      0.00      3.24      0.04     21.59
1981   10   05   24      0.00      3.25      0.04     25.84
1981   10   06   24      3.94      2.88      0.04     26.56
1981   10   07   24     34.72      2.42      0.05     23.42
1981   10   08   24     12.40      1.74      0.06     15.96
1981   10   09   24      1.73      1.55      0.08     14.49
1981   10   10   24      9.50      2.17      0.07     21.00
1981   10   11   24      0.00      2.75      0.06     21.54
1981   10   12   24      0.00      2.72      0.06     22.12
1981   10   13   24      0.00      2.71      0.05     24.09
1981   10   14   24      0.76      2.45      0.05     24.41
1981   10   15   24      0.00      2.25      0.05     23.95
1981   10   16   24      0.00      2.80      0.05     24.21
1981   10   17   24      0.43      2.74      0.05     24.88
1981   10   18   24      8.91      2.31      0.05     22.66
1981   10   19   24      0.00      2.28      0.05     13.90
1981   10   20   24      0.00      2.20      0.05     12.54
1981   10   21   24      0.00      2.33      0.04     14.82
1981   10   22   24      0.00      2.44      0.04     17.81
1981   10   23   24      8.61      2.00      0.05     16.97
1981   10   24   24      0.00      1.71      0.05      9.54
1981   10   25   24     16.42      1.40      0.05     10.45
1981   10   26   24      7.75      1.46      0.05     14.57
1981   10   27   24      0.00      1.59      0.05      8.69
1981   10   28   24      0.00      1.98      0.05     12.41
1981   10   29   24      0.00      2.09      0.05     14.45
1981   10   30   24      0.00      2.20      0.06     16.72
1981   10   31   24      0.00      2.22      0.06     19.20
1981   11   01   24     10.10      1.58      0.06     19.31
1981   11   02   24     12.30      1.33      0.06     14.17
1981   11   03   24      0.01      1.80      0.06     16.29
1981   11   04   24      0.00      1.97      0.06     16.57
1981   11   05   24      0.00      2.06      0.06     17.61
1981   11   06   24      0.00      2.10      0.07     18.41
1981   11   07   24      0.00      1.81      0.06     14.05
1981   11   08   24      0.00      1.76      0.06     13.57
1981   11   09   24     25.38      1.54      0.06     15.51
1981   11   10   24      0.00      1.61      0.06     14.36
1981   11   11   24      0.00      1.55      0.05     11.79
1981   11   12   24      0.00      1.56      0.05     11.95
1981   11   13   24      0.00      1.52      0.06     11.62
1981   11   14   24      0.00      1.52      0.06     12.10
1981   11   15   24      0.00      1.59      0.05     14.17
1981   11   16   24      0.00      1.67      0.05     16.78
1981   11   17   24      0.00      1.63      0.05     15.93
1981   11   18   24      0.00      1.66      0.05     17.48
1981   11   19   24      0.00      1.57      0.05     21.62
1981   11   20   24      0.00      1.47      0.05     14.01
1981   11   21   24      0.00      1.10      0.05      5.09
1981   11   22   24      0.00      1.19      0.05      7.67
1981   11   23   24      0.00      1.38      0.05     12.97
1981   11   24   24      0.96      1.51      0.05     17.16
1981   11   25   24      0.00      1.37      0.05     14.06
1981   11   26   24      0.00      1.55      0.05     19.84
1981   11   27   24     13.49      1.35      0.05     19.03
1981   11   28   24      0.00      1.31      0.05     16.14
1981   11   29   24      3.54      1.03      0.05     15.09
1981   11   30   24     13.60      1.13      0.05     17.79
1981   12   01   24      7.87      1.20      0.05     15.01
1981   12   02   24      0.00      1.08      0.05      8.43
1981   12   03   24      0.00      1.13      0.06     10.21
1981   12   04   24      0.00      1.24      0.08     13.34
1981   12   05   24      0.00      1.01      0.09      7.06
1981   12   06   24      0.00      1.04      0.09      8.49
1981   12   07   24      0.97      0.96      0.08     10.38
1981   12   08   24      0.00      1.21      0.07     15.21
1981   12   09   24      0.00      1.16      0.07     12.32
1981   12   10   24      0.00      1.06      0.06      9.75
1981   12   11   24      0.00      1.04      0.06     10.02
1981   12   12   24      2.33      1.04      0.06     10.93
1981   12   13   24      0.46      0.73      0.06      6.78
1981   12   14   24     22.84      0.68      0.06      7.26
1981   12   15   24      0.14      0.81      0.07      4.36
1981   12   16   24      0.00      0.96      0.10      6.59
1981   12   17   24      9.05      0.96      0.25      9.78
1981   12   18   24      0.00      0.85      0.33      3.36
1981   12   19   24      0.00      0.73      0.27     -0.80
1981   12   20   24      1.59      0.70      0.19      0.15
1981   12   21   24      9.56      0.90      0.15      7.64
1981   12   22   24      2.56      1.08      0.13     17.28
1981   12   23   24      1.56      1.21      0.12     13.82
1981   12   24   24      0.00      0.89      0.11      7.44
1981   12   25   24      0.54      0.79      0.11      2.98
1981   12   26   24      0.00      1.00      0.11      7.55
1981   12   27   24      0.00      1.02      0.11      8.19
1981   12   28   24      0.00      1.11      0.10     10.53
1981   12   29   24      0.00      1.22      0.09     13.29
1981   12   30   24      0.00      1.01      0.09      8.50
1981   12   31   24     24.67      0.86      0.10      8.09
1982   01   01   24      0.00      1.19      0.10     12.54
1982   01   02   24      0.00      1.06      0.11     11.41
1982   01   03   24      4.43      1.15      0.12     17.09
1982   01   04   24      4.96      1.14      0.13     14.24
1982   01   05   24      0.00      1.03      0.14      7.16
1982   01   06   24      0.00      1.17      0.13     10.78
1982   01   07   24      0.98      1.44      0.13     18.04
1982   01   08   24      0.00      1.06      0.12      7.31
1982   01   09   24      0.00      0.91      0.12      2.51
1982   01   10   24      0.00      1.00      0.11      4.78
1982   01   11   24      0.00      0.72      0.10     -5.21
1982   01   12   24     10.59      0.61      0.10     -6.10
1982   01   13   24     19.15      0.56      0.11     -1.19
1982   01   14   24      6.73      0.57      0.11     -5.39
1982   01   15   24      0.00      0.85      0.12     -1.41
1982   01   16   24      0.00      1.20      0.16      6.61
1982   01   17   24      0.00      0.98      0.22     -0.10
1982   01   18   24      0.36      0.92      0.26     -1.25
1982   01   19   24      0.00      1.53      0.26     13.09
1982   01   20   24      0.00      1.56      0.24     21.05
1982   01   21   24      0.00      1.41      0.22     21.44
1982   01   22   24      1.21      1.48      0.19     21.42
1982   01   23   24      5.04      1.41      0.17     16.64
1982   01   24   24      0.00      1.24      0.15      5.95
1982   01   25   24      0.00      1.36      0.14      8.87
1982   01   26   24      0.00      1.48      0.13     10.71
1982   01   27   24      0.00      1.30      0.13      6.28
1982   01   28   24      0.00      1.48      0.12      9.91
1982   01   29   24      0.00      1.77      0.12     17.12
1982   01   30   24      0.00      1.70      0.11     18.46
1982   01   31   24     28.19      1.47      0.13     13.74
1982   02   01   24      0.00      1.20      0.18      5.12
1982   02   02   24      1.26      1.20      0.27      6.23
1982   02   03   24      6.43      0.96      0.39      8.71
1982   02   04   24      0.00      1.25      0.49      5.24
1982   02   05   24      0.00      0.98      0.44      4.10
1982   02   06   24      8.19      0.96      0.33      2.37
1982   02   07   24      0.00      0.96      0.27      0.00
1982   02   08   24      4.57      1.11      0.24      3.39
1982   02   09   24     19.80      1.59      0.28     11.80
1982   02   10   24      0.12      1.29      0.33      1.90
1982   02   11   24      0.00      1.40      0.37      3.37
1982   02   12   24      1.53      1.67      0.51      7.85
1982   02   13   24      0.00      1.66      0.68      8.03
1982   02   14   24      0.00      1.62      0.77      5.10
1982   02   15   24     18.73      1.47      0.71      7.75
1982   02   16   24     59.22      1.52      1.81     15.34
1982   02   17   24      0.00      2.36      2.86     14.45
1982   02   18   24      0.00      2.55      3.23     16.82
1982   02   19   24      0.00      2.14      3.37     14.38
1982   02   20   24      0.00      2.27      3.56     12.67
1982   02   21   24      0.00      2.25      3.82     12.20
1982   02   22   24      0.00      2.54      4.03     14.66
1982   02   23   24      0.00      2.71      3.90     16.80
1982   02   24   24      0.00      2.80      2.87     18.07
1982   02   25   24      0.00      2.71      1.34     17.29
1982   02   26   24     15.26      1.45      0.71      6.69
1982   02   27   24     13.29      0.84      0.70      2.56
1982   02   28   24      0.00      1.38      0.98      4.64
1982   03   01   24      0.00      2.13      1.16      8.10
1982   03   02   24      0.00      2.56      1.33     11.11
1982   03   03   24      0.00      2.70      1.44     13.68
1982   03   04   24      0.00      2.76      1.36     16.58
1982   03   05   24      0.00      2.98      1.07     16.84
1982   03   06   24      6.17      1.69      0.78      8.44
1982   03   07   24      7.84      1.39      0.59      3.19
1982   03   08   24      0.00      2.38      0.57      7.13
1982   03   09   24      0.00      2.69      0.59     10.77
1982   03   10   24      0.00      2.81      0.52     13.89
1982   03   11   24      0.00      2.98      0.43     17.38
1982   03   12   24      0.00      2.79      0.36     20.39
1982   03   13   24      0.89      2.34      0.32     21.23
1982   03   14   24      0.00      3.13      0.30     23.55
1982   03   15   24      0.17      2.76      0.27     23.76
1982   03   16   24      0.00      2.75      0.26     24.12
1982   03   17   24      0.00      3.16      0.24     24.49
1982   03   18   24      0.00      3.38      0.22     23.81
1982   03   19   24      0.00      3.65      0.21     25.02
1982   03   20   24      0.00      3.61      0.20     25.36
1982   03   21   24      0.00      3.86      0.18     24.67
1982   03   22   24      5.14      3.34      0.17     17.64
1982   03   23   24      0.00      2.80      0.16     13.89
1982   03   24   24      9.67      2.48      0.16     16.04
1982   03   25   24      0.00      3.10      0.16     17.12
1982   03   26   24      0.00      3.97      0.16     16.43
1982   03   27   24      5.23      2.42      0.16      9.90
1982   03   28   24     13.18      1.50      0.18      6.36
1982   03   29   24      0.00      3.24      0.19     10.49
1982   03   30   24      5.21      3.65      0.20     16.29
1982   03   31   24     34.48      2.14      0.27     20.41
1982   04   01   24      0.00      3.93      0.87     23.13
1982   04   02   24      0.00      3.35      1.37     23.39
1982   04   03   24      8.86      3.44      1.83     18.93
1982   04   04   24      0.00      4.16      2.23     16.28
